8.46292	0.243462	-3.03909	-0.087429	8.46292	0.243462	8.6	0.25	-3.00029	0
8.31098	0.239091	-3.03909	-0.087429	8.44818	0.251553	8.45	0.25	-3.00027	0
8.15885	0.234715	-3.03909	-0.087429	8.56759	0.241943	8.45	0.25	0	0
8.00672	0.230338	-3.03909	-0.087429	8.45582	0.253997	8.45	0.25	0	0
7.83972	0.225534	-3.03909	-0.087429	8.42544	0.254042	8.35	0.25	-1.81979	0
7.67272	0.22073	-3.03909	-0.087429	8.23962	0.24916	8.25	0.25	-1.81978	0
7.52075	0.216358	-3.03909	-0.087429	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
7.36878	0.211986	-3.03909	-0.087429	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
7.21682	0.207614	-3.03909	-0.087429	7.61269	0.155818	7.7	0.15	-2.99982	0
7.06486	0.203243	-3.03909	-0.087429	7.54016	0.159641	7.55	0.15	-2.99982	0
6.89755	0.19843	-3.03909	-0.087429	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
6.73024	0.193617	-3.03909	-0.087429	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
6.56317	0.18881	-3.03909	-0.087429	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
6.39609	0.184004	-3.03909	-0.087429	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
6.22902	0.179197	-3.03909	-0.087429	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
6.06194	0.174391	-3.03909	-0.087429	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
5.91004	0.170021	-3.03909	-0.087429	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
5.75814	0.165651	-3.03909	-0.087429	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
5.60601	0.161274	-3.03909	-0.087429	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
5.45388	0.156898	-3.03909	-0.087429	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
5.28667	0.152088	-3.03909	-0.087429	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
5.11945	0.147277	-3.03909	-0.087429	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
4.95237	0.14247	-3.03909	-0.087429	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
4.78529	0.137664	-3.03909	-0.087429	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
4.61826	0.132859	-3.03909	-0.087429	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
4.45123	0.128053	-3.03909	-0.087429	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
4.29919	0.12368	-3.03909	-0.087429	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
4.14716	0.119306	-3.03909	-0.087429	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
3.9952	0.114935	-3.03909	-0.087429	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
3.84325	0.110563	-3.03909	-0.087429	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
3.67603	0.105752	-3.03909	-0.087429	6.32593	-2.40018	6.35	-2.4	0	-2.72613
3.5088	0.100942	-3.03909	-0.087429	6.34927	-2.55175	6.35	-2.55	0	-2.72611
3.34173	0.0961353	-3.03909	-0.087429	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
